fecha,evento,clasificacion,revision,fuente
28/08/2026,KubeBeer Lima #2,Comunidad,Encuentro social y networking; no es una actividad universitaria.,https://ocgroups.dev/cncf/group/nmmzkrs/event/zmee2ea
14/08/2026,KCNA Lima Study Group #5,Comunidad,"Cierre de la serie: Helm, service mesh, observabilidad y entrega de aplicaciones.",https://ocgroups.dev/cncf/group/nmmzkrs/event/evpte4w
12/08/2026,KCNA Lima Study Group #4,Comunidad,"Almacenamiento, escalamiento y ecosistema CNCF.",https://ocgroups.dev/cncf/group/nmmzkrs/event/hny9fuy
07/08/2026,KCNA Lima Study Group #3,Comunidad,"Recursos, scheduling, redes y seguridad en Kubernetes.",https://ocgroups.dev/cncf/group/nmmzkrs/event/qrzcw7j
05/08/2026,KCNA Lima Study Group #2,Comunidad,"Fundamentos, instalación, arquitectura y recursos de Kubernetes.",https://ocgroups.dev/cncf/group/nmmzkrs/event/nqrzstg
03/08/2026,KCNA Lima Study Group #1,Comunidad,"Inicio de preparación KCNA con Max Zeballos; dinámica, recursos y práctica.",https://ocgroups.dev/cncf/group/nmmzkrs/event/pdkhaus
09/07/2026,Pre-KCD Lima 2026 Open Space,Comunidad,Open Space en Interbank; adopción de Kubernetes y encuentro previo al KCD.,https://ocgroups.dev/cncf/group/nmmzkrs/event/r5kvxau
13/06/2026,KUBEFEST: TECNOLOGÍAS CLOUD NATIVE QUE ESTÁN TRANSFORMANDO EL MUNDO,Colaboración de apoyo,"IA, Zero Trust y platform engineering; la ficha declara participación de apoyo, no organización propia.",https://ocgroups.dev/cncf/group/nmmzkrs/event/tu52ja4
25/04/2026,Cloud Native Lima University #3 - UTEC,University,"Tercera edición University: introducción a aplicaciones, contenedores, microservicios e infraestructura; sin agenda desglosada.",https://ocgroups.dev/cncf/group/nmmzkrs/event/jjmz4m4
13/12/2025,Cloud Native Lima University #2 - PUCP,University,Segunda edición University en la Facultad de Ciencias e Ingeniería; no publica agenda desglosada.,https://ocgroups.dev/cncf/group/nmmzkrs/event/kw8a6c8
11/10/2025,Cloud Native Lima University #1 - UNI - Cloud Native 101,University,"Primera edición University: microservicios, Kubernetes, comunidad, certificaciones y GitOps. Agenda con cuatro charlas.",https://ocgroups.dev/cncf/group/nmmzkrs/event/b6rhg7e
15/08/2025,Cloud Native Lima #9 – Kubernetes Release Shadow & FinOps,Comunidad,Contribución al release de Kubernetes como Shadow y optimización de costos con FinOps.,https://ocgroups.dev/cncf/group/nmmzkrs/event/w6dhfj8
17/07/2025,Cloud Native Lima #8,Comunidad,"Mesa redonda de observabilidad, seguridad e iniciación cloud native. El resumen del listado recicla contenido del meetup #6.",https://ocgroups.dev/cncf/group/nmmzkrs/event/9gsv4v8
09/07/2025,Cloud Native Lima #7 – Becas CNCF & GitOps para Todos,Comunidad,Voluntariado y experiencia en KubeCon; GitOps y Backstage. El resumen del listado recicla el laboratorio de clúster doméstico.,https://ocgroups.dev/cncf/group/nmmzkrs/event/nprt52c
14/11/2024,"Cloud Native Lima #6: IA Generativa, Seguridad con eBPF y GitOps",Comunidad,IA con Podman AI Lab y Quarkus; eBPF; GitOps en Kubernetes.,https://ocgroups.dev/cncf/group/nmmzkrs/event/dcb369y
06/11/2024,Configura tu Propio Clúster y Lleva la Nube a tu Hogar - Part 1,Comunidad,"Laboratorio doméstico: hardware, sistema operativo, kubeadm/k3s, redes y almacenamiento.",https://ocgroups.dev/cncf/group/nmmzkrs/event/pf482bd
12/07/2024,Cloud Native Lima - Meetup #5 - Camino a KCD Lima Perú 2024,Comunidad,"Camino a KCD, programa Kubestronaut y alternativas open source en la nube.",https://ocgroups.dev/cncf/group/nmmzkrs/event/gu87es9
