Mes,Línea,Actividad,Tipo,Frecuencia,Estado,Fecha,Hora,Zona horaria,Sede,Responsable funcional,Objetivo,Nivel,Ponentes,Cupo,Presupuesto PEN,Registro
2026-10,Cloud Native Specialization,Laboratorio de contenedores,recurrente,Edición de cierre de 2026,Propuesto,,,America/Lima,Por confirmar,Facilitación técnica + laboratorios,Construir y ejecutar una aplicación local,Contenedores básicos,Por confirmar,,,
2026-11,Cloud Native University,La próxima edición en campus,recurrente,Edición de cierre de 2026,Propuesto,,,America/Lima,Por confirmar,Enlace universitario + facilitación,Completar una primera práctica y conocer la comunidad,Inicial,Por confirmar,,,
2026-12,Cloud Native Rejects,Primera edición y conversaciones,recurrente,Edición de cierre de 2026,Propuesto,,,America/Lima,Por confirmar,Contenido + selección de charlas,Compartir propuestas técnicas y recoger feedback,Según las charlas seleccionadas,Por confirmar,,,
2027-01,Cloud Native Specialization,Kubernetes: bases para operar,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Facilitación técnica + laboratorios,Desplegar una aplicación y diagnosticar un fallo guiado,Bases de contenedores,Por confirmar,,,
2027-01,Hito de comunidad,Apertura del año y bienvenida al equipo,fijo,Una vez al año,Propuesto,,,America/Lima,Por confirmar,Equipo organizador,"Acordar responsables, capacidad y prioridades del calendario",Toda la comunidad,Por confirmar,,,
2027-02,Cloud Native Rejects,Ideas que merecen escenario,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Contenido + selección de charlas,Presentar charlas técnicas y conversar con sus autores,Según las charlas seleccionadas,Por confirmar,,,
2027-03,Cloud Native University,Del aula al contenedor,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Enlace universitario + facilitación,Ejecutar una primera aplicación y explicar cómo funciona,Inicial,Por confirmar,,,
2027-04,Cloud Native Specialization,GitOps en la práctica,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Facilitación técnica + laboratorios,Actualizar una aplicación desde Git y ensayar una reversión,Bases de Kubernetes y Git,Por confirmar,,,
2027-05,Cloud Native University,Tu primera aplicación en Kubernetes,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Enlace universitario + facilitación,Desplegar una aplicación en un entorno preparado,Inicial con bases de contenedores,Por confirmar,,,
2027-06,Cloud Native Specialization,Observabilidad para diagnosticar,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Facilitación técnica + laboratorios,"Relacionar métricas, logs y trazas con una incidencia",Bases de Kubernetes,Por confirmar,,,
2027-07,Cloud Native Rejects,Experiencias de infraestructura,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Contenido + selección de charlas,Compartir decisiones técnicas y sus aprendizajes,Según las charlas seleccionadas,Por confirmar,,,
2027-08,Cloud Native University,Aprender a observar una aplicación,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Enlace universitario + facilitación,Encontrar la causa de un fallo con acompañamiento,Inicial con bases de aplicaciones,Por confirmar,,,
2027-09,Cloud Native Specialization,Seguridad en Kubernetes,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Facilitación técnica + laboratorios,Aplicar controles de acceso y revisar una carga de trabajo,Bases de Kubernetes,Por confirmar,,,
2027-10,Cloud Native Rejects,Open source: ideas y contribuciones,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Contenido + selección de charlas,Conocer propuestas y abrir conversaciones para contribuir,Según las charlas seleccionadas,Por confirmar,,,
2027-11,Cloud Native University,Proyectos para compartir,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Enlace universitario + facilitación,Mostrar un proyecto y recibir feedback técnico,Inicial e intermedio,Por confirmar,,,
2027-12,Cloud Native Rejects,Aprendizajes del año,recurrente,4 ediciones al año,Propuesto,,,America/Lima,Por confirmar,Contenido + selección de charlas,Compartir charlas y recoger prioridades para el siguiente año,Según las charlas seleccionadas,Por confirmar,,,
2027-12,Hito de comunidad,Cierre anual de Cloud Native Lima,fijo,Una vez al año,Propuesto,,,America/Lima,Por confirmar,Equipo organizador,"Revisar resultados, reconocer contribuciones y preparar 2028",Toda la comunidad,Por confirmar,,,
